		AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	stexy	0.083620	0.038715	0.067089	0.141901	0.096440	0.035812	0.092821	0.055514	0.077179	0.061572	0.083890	0.035965	0.039516	0.048510	0.027388	0.024545	0.078583	0.063112	0.047197	0.057320	0.064848	0.067781	0.046782	0.078703	0.037036	0.056411	0.073576	0.054549	0.075284	0.123789	0.046665	0.044157	0.065218	0.048678	0.137879	0.069881	0.050270	0.054321	0.082558	0.084818	0.069648	0.077454	0.073651	0.060252	0.053034	0.163344	0.071654	0.036682	0.079069	0.051737	0.062638	0.045538	0.044084	0.049852	0.075701	0.073406	0.039769	0.076416	0.065462	0.064100	0.052777	0.071166	0.040847
	SSres	0.090901	0.019485	0.058511	0.261767	0.120909	0.016672	0.112004	0.040064	0.077436	0.049285	0.091489	0.016815	0.020299	0.030592	0.009751	0.007832	0.080279	0.051781	0.028958	0.042713	0.054668	0.059726	0.028451	0.080523	0.017832	0.041369	0.070374	0.038683	0.073679	0.199208	0.028310	0.025348	0.055294	0.030804	0.247137	0.063484	0.032851	0.038361	0.088605	0.093523	0.063062	0.077988	0.070518	0.047194	0.036563	0.346857	0.066746	0.017492	0.081275	0.034798	0.051006	0.026958	0.025264	0.032307	0.074499	0.070050	0.020561	0.075911	0.055709	0.053415	0.036211	0.065840	0.021690
	SSregression	27.595885	27.048393	27.767766	28.170378	30.578131	26.969650	28.807288	28.100665	28.850423	30.213023	19.750804	27.909850	28.197050	28.212102	25.545434	27.736140	29.298889	28.393528	27.266438	27.210994	28.860478	27.686864	28.459014	27.354399	27.750430	27.473134	28.298506	26.138172	27.184451	29.525649	27.680815	30.242218	24.397162	27.107460	25.806426	28.344312	22.826157	29.650286	28.681493	27.358666	27.492211	28.925427	29.388610	27.073593	24.900200	28.136630	27.082349	28.346441	28.677339	25.343059	29.871268	28.883756	28.351682	27.478161	27.621243	26.850647	28.183472	27.791375	28.371912	28.731132	28.614393	26.937127	27.728122
	SSderivation	0.009939	0.007520	0.007456	0.006346	0.020713	0.009123	0.004186	0.000966	0.027553	0.006601	0.000918	0.003764	0.018149	0.006907	0.002499	0.002116	0.003638	0.000821	0.003826	0.005243	0.015492	0.002661	0.003450	0.010589	0.006570	0.028014	0.006285	0.006093	0.009485	0.042729	0.004742	0.007271	0.046691	0.009314	0.091567	0.024819	0.003456	0.013973	0.034363	0.010830	0.005658	0.010197	0.057855	0.005591	0.008730	0.044610	0.034379	0.004499	0.012703	0.008863	0.019607	0.003638	0.003068	0.020196	0.003650	0.039478	0.003517	0.001873	0.000931	0.022451	0.026761	0.002531	0.017912
																																																																
16		SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS
	between	27.605825	27.055913	27.775222	28.176725	30.598845	26.978774	28.811474	28.101631	28.877976	30.219624	19.751722	27.913614	28.215199	28.219009	25.547933	27.738256	29.302527	28.394349	27.270264	27.216237	28.875970	27.689525	28.462465	27.364987	27.757000	27.501148	28.304791	26.144265	27.193936	29.568378	27.685557	30.249489	24.443853	27.116773	25.897993	28.369131	22.829614	29.664259	28.715857	27.369497	27.497869	28.935624	29.446465	27.079183	24.908930	28.181240	27.116728	28.350941	28.690042	25.351922	29.890875	28.887395	28.354751	27.498356	27.624893	26.890124	28.186989	27.793248	28.372843	28.753583	28.641154	26.939658	27.746035
	regression	27.595885	27.048393	27.767766	28.170378	30.578131	26.969650	28.807288	28.100665	28.850423	30.213023	19.750804	27.909850	28.197050	28.212102	25.545434	27.736140	29.298889	28.393528	27.266438	27.210994	28.860478	27.686864	28.459014	27.354399	27.750430	27.473134	28.298506	26.138172	27.184451	29.525649	27.680815	30.242218	24.397162	27.107460	25.806426	28.344312	22.826157	29.650286	28.681493	27.358666	27.492211	28.925427	29.388610	27.073593	24.900200	28.136630	27.082349	28.346441	28.677339	25.343059	29.871268	28.883756	28.351682	27.478161	27.621243	26.850647	28.183472	27.791375	28.371912	28.731132	28.614393	26.937127	27.728122
	derivation	0.009939	0.007520	0.007456	0.006346	0.020713	0.009123	0.004186	0.000966	0.027553	0.006601	0.000918	0.003764	0.018149	0.006907	0.002499	0.002116	0.003638	0.000821	0.003826	0.005243	0.015492	0.002661	0.003450	0.010589	0.006570	0.028014	0.006285	0.006093	0.009485	0.042729	0.004742	0.007271	0.046691	0.009314	0.091567	0.024819	0.003456	0.013973	0.034363	0.010830	0.005658	0.010197	0.057855	0.005591	0.008730	0.044610	0.034379	0.004499	0.012703	0.008863	0.019607	0.003638	0.003068	0.020196	0.003650	0.039478	0.003517	0.001873	0.000931	0.022451	0.026761	0.002531	0.017912
	within	0.080962	0.011966	0.051055	0.255421	0.100196	0.007549	0.107818	0.039098	0.049883	0.042684	0.090571	0.013051	0.002150	0.023686	0.007252	0.005716	0.076641	0.050960	0.025132	0.037470	0.039176	0.057065	0.025001	0.069934	0.011262	0.013355	0.064089	0.032591	0.064194	0.156479	0.023568	0.018078	0.008603	0.021490	0.155570	0.038664	0.029395	0.024388	0.054242	0.082693	0.057404	0.067791	0.012663	0.041603	0.027834	0.302247	0.032366	0.012993	0.068572	0.025935	0.031399	0.023319	0.022196	0.012112	0.070849	0.030573	0.017044	0.074039	0.054778	0.030964	0.009450	0.063309	0.003778
																																																																
		df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df
	between	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
	regression	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
	derivation	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
	within	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
																																																																
		MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS
	between	6.901456	6.763978	6.943805	7.044181	7.649711	6.744693	7.202869	7.025408	7.219494	7.554906	4.937931	6.978403	7.053800	7.054752	6.386983	6.934564	7.325632	7.098587	6.817566	6.804059	7.218993	6.922381	7.115616	6.841247	6.939250	6.875287	7.076198	6.536066	6.798484	7.392094	6.921389	7.562372	6.110963	6.779193	6.474498	7.092283	5.707403	7.416065	7.178964	6.842374	6.874467	7.233906	7.361616	6.769796	6.227233	7.045310	6.779182	7.087735	7.172510	6.337981	7.472719	7.221849	7.088688	6.874589	6.906223	6.722531	7.046747	6.948312	7.093211	7.188396	7.160289	6.734915	6.936509
	regression	27.595885	27.048393	27.767766	28.170378	30.578131	26.969650	28.807288	28.100665	28.850423	30.213023	19.750804	27.909850	28.197050	28.212102	25.545434	27.736140	29.298889	28.393528	27.266438	27.210994	28.860478	27.686864	28.459014	27.354399	27.750430	27.473134	28.298506	26.138172	27.184451	29.525649	27.680815	30.242218	24.397162	27.107460	25.806426	28.344312	22.826157	29.650286	28.681493	27.358666	27.492211	28.925427	29.388610	27.073593	24.900200	28.136630	27.082349	28.346441	28.677339	25.343059	29.871268	28.883756	28.351682	27.478161	27.621243	26.850647	28.183472	27.791375	28.371912	28.731132	28.614393	26.937127	27.728122
	Linearity: MS derivation	0.003313	0.002507	0.002485	0.002115	0.006904	0.003041	0.001395	0.000322	0.009184	0.002200	0.000306	0.001255	0.006050	0.002302	0.000833	0.000705	0.001213	0.000274	0.001275	0.001748	0.005164	0.000887	0.001150	0.003530	0.002190	0.009338	0.002095	0.002031	0.003162	0.014243	0.001581	0.002424	0.015564	0.003105	0.030522	0.008273	0.001152	0.004658	0.011454	0.003610	0.001886	0.003399	0.019285	0.001864	0.002910	0.014870	0.011460	0.001500	0.004234	0.002954	0.006536	0.001213	0.001023	0.006732	0.001217	0.013159	0.001172	0.000624	0.000310	0.007484	0.008920	0.000844	0.005971
	Reproducibility: MS within	0.008096	0.001197	0.005106	0.025542	0.010020	0.000755	0.010782	0.003910	0.004988	0.004268	0.009057	0.001305	0.000215	0.002369	0.000725	0.000572	0.007664	0.005096	0.002513	0.003747	0.003918	0.005706	0.002500	0.006993	0.001126	0.001335	0.006409	0.003259	0.006419	0.015648	0.002357	0.001808	0.000860	0.002149	0.015557	0.003866	0.002940	0.002439	0.005424	0.008269	0.005740	0.006779	0.001266	0.004160	0.002783	0.030225	0.003237	0.001299	0.006857	0.002593	0.003140	0.002332	0.002220	0.001211	0.007085	0.003057	0.001704	0.007404	0.005478	0.003096	0.000945	0.006331	0.000378
