		AHCY	AKR1C1	ALUsq-Eur	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	SSbetween	33.658506	32.160931	4.234840	32.262088	33.113977	38.304419	33.529975	33.229750	33.729513	34.142781	35.722003	25.834063	32.185722	32.706934	32.230310	30.655983	32.149554	34.798065	33.461607	31.802307	33.395983	34.645358	34.238036	33.071646	31.659834	31.231636	31.960268	33.443957	31.025166	31.329307	33.872288	32.206005	34.853136	28.306813	32.895516	31.026359	35.187977	30.634208	34.247246	37.001019	32.758192	32.763626	35.299680	33.634408	32.817348	32.709479	32.276843	32.710382	33.790851	33.282414	30.915970	36.029062	33.143759	34.249731	32.193358	33.125231	31.712742	33.287034	35.290385	32.855791	34.024857	33.918875	34.099094	34.694245
																																																																	
	stexy	0.092349	0.040421	0.397293	0.071788	0.141569	0.095999	0.036822	0.105069	0.061651	0.081097	0.067418	0.093663	0.042770	0.039218	0.054785	0.026283	0.024459	0.086063	0.066812	0.045291	0.060275	0.066354	0.076816	0.050516	0.081953	0.037921	0.061578	0.078977	0.057318	0.085193	0.123956	0.050597	0.045408	0.079294	0.052407	0.152708	0.072835	0.059427	0.057013	0.094887	0.098030	0.074955	0.085176	0.073039	0.066988	0.060788	0.177386	0.074312	0.040033	0.084296	0.055422	0.066832	0.042113	0.051615	0.050493	0.082910	0.070475	0.040705	0.089925	0.071820	0.069030	0.055118	0.073883	0.039758
	SSres	0.110869	0.021240	2.051944	0.066995	0.260542	0.119807	0.017626	0.143512	0.049411	0.085497	0.059088	0.114047	0.023781	0.019995	0.039018	0.008981	0.007777	0.096289	0.058030	0.026666	0.047230	0.057237	0.076709	0.033175	0.087312	0.018694	0.049294	0.081085	0.042710	0.094352	0.199745	0.033281	0.026805	0.081737	0.035704	0.303158	0.068965	0.045910	0.042256	0.117047	0.124929	0.073037	0.094315	0.069351	0.058336	0.048038	0.409057	0.071789	0.020835	0.092375	0.039931	0.058064	0.023056	0.034633	0.033144	0.089363	0.064568	0.021539	0.105124	0.067056	0.061946	0.039493	0.070963	0.020549
	SSregression	33.647125	32.154476	3.651655	32.257082	33.109831	38.289606	33.522962	33.223785	33.728989	34.113391	35.712359	25.831500	32.175030	32.691375	32.216559	30.653212	32.146900	34.794192	33.459425	31.797845	33.389323	34.628861	34.236024	33.069614	31.650320	31.223198	31.928374	33.437331	31.016128	31.319725	33.832781	32.200368	34.846082	28.235010	32.883244	30.931227	35.161600	30.631761	34.231197	36.966757	32.743148	32.753986	35.290904	33.573759	32.810261	32.691241	32.230815	32.672659	33.787764	33.264501	30.906779	36.002357	33.139511	34.242475	32.174556	33.122024	31.678100	33.278912	35.282147	32.852124	34.004268	33.888600	34.095298	34.679206
	SSderivation	0.011381	0.006455	0.583185	0.005006	0.004145	0.014813	0.007013	0.005964	0.000523	0.029390	0.009644	0.002562	0.010692	0.015560	0.013751	0.002771	0.002655	0.003873	0.002182	0.004462	0.006659	0.016496	0.002012	0.002031	0.009514	0.008438	0.031893	0.006626	0.009039	0.009582	0.039507	0.005637	0.007054	0.071804	0.012272	0.095132	0.026377	0.002447	0.016049	0.034263	0.015044	0.009640	0.008776	0.060649	0.007088	0.018238	0.046028	0.037722	0.003086	0.017913	0.009191	0.026706	0.004248	0.007256	0.018803	0.003208	0.034642	0.008122	0.008238	0.003667	0.020589	0.030274	0.003796	0.015039
																																																																	
16		SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS
	between	33.658506	32.160931	4.234840	32.262088	33.113977	38.304419	33.529975	33.229750	33.729513	34.142781	35.722003	25.834063	32.185722	32.706934	32.230310	30.655983	32.149554	34.798065	33.461607	31.802307	33.395983	34.645358	34.238036	33.071646	31.659834	31.231636	31.960268	33.443957	31.025166	31.329307	33.872288	32.206005	34.853136	28.306813	32.895516	31.026359	35.187977	30.634208	34.247246	37.001019	32.758192	32.763626	35.299680	33.634408	32.817348	32.709479	32.276843	32.710382	33.790851	33.282414	30.915970	36.029062	33.143759	34.249731	32.193358	33.125231	31.712742	33.287034	35.290385	32.855791	34.024857	33.918875	34.099094	34.694245
	regression	33.647125	32.154476	3.651655	32.257082	33.109831	38.289606	33.522962	33.223785	33.728989	34.113391	35.712359	25.831500	32.175030	32.691375	32.216559	30.653212	32.146900	34.794192	33.459425	31.797845	33.389323	34.628861	34.236024	33.069614	31.650320	31.223198	31.928374	33.437331	31.016128	31.319725	33.832781	32.200368	34.846082	28.235010	32.883244	30.931227	35.161600	30.631761	34.231197	36.966757	32.743148	32.753986	35.290904	33.573759	32.810261	32.691241	32.230815	32.672659	33.787764	33.264501	30.906779	36.002357	33.139511	34.242475	32.174556	33.122024	31.678100	33.278912	35.282147	32.852124	34.004268	33.888600	34.095298	34.679206
	derivation	0.011381	0.006455	0.583185	0.005006	0.004145	0.014813	0.007013	0.005964	0.000523	0.029390	0.009644	0.002562	0.010692	0.015560	0.013751	0.002771	0.002655	0.003873	0.002182	0.004462	0.006659	0.016496	0.002012	0.002031	0.009514	0.008438	0.031893	0.006626	0.009039	0.009582	0.039507	0.005637	0.007054	0.071804	0.012272	0.095132	0.026377	0.002447	0.016049	0.034263	0.015044	0.009640	0.008776	0.060649	0.007088	0.018238	0.046028	0.037722	0.003086	0.017913	0.009191	0.026706	0.004248	0.007256	0.018803	0.003208	0.034642	0.008122	0.008238	0.003667	0.020589	0.030274	0.003796	0.015039
	within	0.099488	0.014785	1.468758	0.061989	0.256396	0.104993	0.010613	0.137548	0.048888	0.056107	0.049444	0.111484	0.013089	0.004435	0.025266	0.006209	0.005122	0.092416	0.055847	0.022205	0.040570	0.040740	0.074696	0.031143	0.077798	0.010256	0.017401	0.074459	0.033671	0.084770	0.160238	0.027644	0.019751	0.009933	0.023432	0.208025	0.042588	0.043464	0.026207	0.082784	0.109885	0.063397	0.085540	0.008702	0.051249	0.029800	0.363029	0.034067	0.017748	0.074462	0.030739	0.031358	0.018808	0.027377	0.014342	0.086155	0.029926	0.013417	0.096885	0.063389	0.041357	0.009219	0.067167	0.005511
																																																																	
		df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df
	between	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
	regression	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
	derivation	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
	within	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
																																																																	
		MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS
	between	8.414626	8.040233	1.058710	8.065522	8.278494	9.576105	8.382494	8.307437	8.432378	8.535695	8.930501	6.458516	8.046430	8.176734	8.057578	7.663996	8.037389	8.699516	8.365402	7.950577	8.348996	8.661339	8.559509	8.267911	7.914958	7.807909	7.990067	8.360989	7.756292	7.832327	8.468072	8.051501	8.713284	7.076703	8.223879	7.756590	8.796994	7.658552	8.561812	9.250255	8.189548	8.190906	8.824920	8.408602	8.204337	8.177370	8.069211	8.177595	8.447713	8.320604	7.728993	9.007266	8.285940	8.562433	8.048340	8.281308	7.928185	8.321759	8.822596	8.213948	8.506214	8.479719	8.524774	8.673561
	regression	33.647125	32.154476	3.651655	32.257082	33.109831	38.289606	33.522962	33.223785	33.728989	34.113391	35.712359	25.831500	32.175030	32.691375	32.216559	30.653212	32.146900	34.794192	33.459425	31.797845	33.389323	34.628861	34.236024	33.069614	31.650320	31.223198	31.928374	33.437331	31.016128	31.319725	33.832781	32.200368	34.846082	28.235010	32.883244	30.931227	35.161600	30.631761	34.231197	36.966757	32.743148	32.753986	35.290904	33.573759	32.810261	32.691241	32.230815	32.672659	33.787764	33.264501	30.906779	36.002357	33.139511	34.242475	32.174556	33.122024	31.678100	33.278912	35.282147	32.852124	34.004268	33.888600	34.095298	34.679206
	Linearity: MS derivation	0.003794	0.002152	0.194395	0.001669	0.001382	0.004938	0.002338	0.001988	0.000174	0.009797	0.003215	0.000854	0.003564	0.005187	0.004584	0.000924	0.000885	0.001291	0.000727	0.001487	0.002220	0.005499	0.000671	0.000677	0.003171	0.002813	0.010631	0.002209	0.003013	0.003194	0.013169	0.001879	0.002351	0.023935	0.004091	0.031711	0.008792	0.000816	0.005350	0.011421	0.005015	0.003213	0.002925	0.020216	0.002363	0.006079	0.015343	0.012574	0.001029	0.005971	0.003064	0.008902	0.001416	0.002419	0.006268	0.001069	0.011547	0.002707	0.002746	0.001222	0.006863	0.010091	0.001265	0.005013
	Reproducibility: MS within	0.009949	0.001479	0.146876	0.006199	0.025640	0.010499	0.001061	0.013755	0.004889	0.005611	0.004944	0.011148	0.001309	0.000444	0.002527	0.000621	0.000512	0.009242	0.005585	0.002220	0.004057	0.004074	0.007470	0.003114	0.007780	0.001026	0.001740	0.007446	0.003367	0.008477	0.016024	0.002764	0.001975	0.000993	0.002343	0.020803	0.004259	0.004346	0.002621	0.008278	0.010988	0.006340	0.008554	0.000870	0.005125	0.002980	0.036303	0.003407	0.001775	0.007446	0.003074	0.003136	0.001881	0.002738	0.001434	0.008616	0.002993	0.001342	0.009689	0.006339	0.004136	0.000922	0.006717	0.000551
