			AHCY	AKR1C1	ALUsq-Eur	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
			4.244e-08	1.001e-07	3.574e-07	6.085e-08	5.683e-08	2.825e-08	6.764e-08	5.282e-08	3.774e-08	9.462e-08	5.009e-08	4.757e-07	7.501e-08	4.951e-08	5.327e-08	1.194e-07	7.940e-08	4.606e-08	4.669e-08	7.567e-08	4.525e-08	4.250e-08	3.798e-08	6.965e-08	5.484e-08	1.078e-07	5.537e-08	6.530e-08	4.837e-08	7.850e-08	5.057e-08	7.348e-08	3.875e-08	1.639e-07	2.263e-08	4.348e-08	4.811e-08	1.524e-07	7.359e-08	1.754e-08	5.897e-08	7.530e-08	5.063e-08	2.408e-08	8.666e-08	9.259e-08	3.989e-08	9.621e-08	4.704e-08	5.604e-08	9.908e-08	4.815e-08	7.006e-08	4.689e-08	5.324e-08	6.896e-08	5.159e-08	6.780e-08	3.356e-08	7.233e-08	5.485e-08	1.216e-07	3.740e-08	4.219e-08
			4.809e-07	9.815e-07	2.087e-06	6.653e-07	5.974e-07	3.626e-07	8.110e-07	6.172e-07	4.225e-07	1.040e-06	6.157e-07	4.059e-06	9.030e-07	6.365e-07	6.554e-07	1.203e-06	9.279e-07	5.092e-07	5.471e-07	8.478e-07	5.681e-07	4.682e-07	4.448e-07	7.390e-07	6.139e-07	1.215e-06	5.638e-07	7.737e-07	5.535e-07	8.213e-07	5.653e-07	8.190e-07	4.278e-07	1.783e-06	2.345e-07	5.234e-07	5.611e-07	1.549e-06	8.742e-07	2.425e-07	7.139e-07	8.927e-07	5.563e-07	3.188e-07	9.558e-07	1.072e-06	5.029e-07	1.144e-06	5.493e-07	6.267e-07	1.073e-06	5.767e-07	7.525e-07	5.683e-07	6.422e-07	7.875e-07	6.403e-07	8.030e-07	4.017e-07	8.543e-07	5.927e-07	1.342e-06	4.752e-07	5.433e-07
		fold up																																																																
			2.487440	1.490119	50.414492	2.030665	4.042746	2.578665	1.438127	2.820068	1.837384	2.226028	1.944969	2.519905	1.525061	1.472537	1.717013	1.296088	1.272962	2.337829	1.933368	1.563467	1.812597	1.924650	2.133958	1.646200	2.244922	1.453811	1.836056	2.179943	1.760479	2.317844	3.397803	1.647510	1.565281	2.186773	1.677190	4.512470	2.051764	1.797496	1.755178	2.550519	2.630859	2.095129	2.317471	2.055889	1.936735	1.821806	5.756649	2.081878	1.484427	2.297422	1.727844	1.933744	1.515207	1.664134	1.645822	2.266219	2.004533	1.494291	2.428632	2.031318	1.976143	1.722664	2.073082	1.480403
			2.229543	1.420411	31.481037	1.865029	3.418252	2.301332	1.376712	2.489864	1.707910	2.022024	1.795599	2.255127	1.449677	1.405655	1.609064	1.256334	1.236589	2.111115	1.786172	1.481751	1.687621	1.779083	1.948251	1.550527	2.037117	1.389914	1.706824	1.985144	1.644850	2.095228	2.933541	1.551612	1.483264	1.990615	1.576181	3.765372	1.882069	1.675243	1.640491	2.279216	2.342268	1.917025	2.094931	1.885398	1.788909	1.695163	4.665092	1.906353	1.415636	2.078976	1.617991	1.786477	1.441432	1.565380	1.550213	2.054111	1.843895	1.423910	2.183097	1.865557	1.820897	1.613722	1.899264	1.412259
			2.142180	1.395776	26.507305	1.807969	3.215081	2.207665	1.354943	2.379166	1.662936	1.952278	1.743958	2.165529	1.423086	1.381995	1.571357	1.242122	1.223567	2.033920	1.735258	1.452986	1.644161	1.728714	1.884539	1.516991	1.966121	1.367286	1.661932	1.918430	1.604544	2.019373	2.780295	1.518001	1.454396	1.923453	1.540830	3.524533	1.823660	1.632701	1.600504	2.187502	2.244961	1.855828	2.019102	1.826724	1.737783	1.651142	4.320311	1.846010	1.391317	2.004488	1.579639	1.735539	1.415395	1.530796	1.516700	1.981703	1.788497	1.399042	2.099757	1.808455	1.767296	1.575679	1.839488	1.388164
			2.229543	1.420411	31.481037	1.865029	3.418252	2.301332	1.376712	2.489864	1.707910	2.022024	1.795599	2.255127	1.449677	1.405655	1.609064	1.256334	1.236589	2.111115	1.786172	1.481751	1.687621	1.779083	1.948251	1.550527	2.037117	1.389914	1.706824	1.985144	1.644850	2.095228	2.933541	1.551612	1.483264	1.990615	1.576181	3.765372	1.882069	1.675243	1.640491	2.279216	2.342268	1.917025	2.094931	1.885398	1.788909	1.695163	4.665092	1.906353	1.415636	2.078976	1.617991	1.786477	1.441432	1.565380	1.550213	2.054111	1.843895	1.423910	2.183097	1.865557	1.820897	1.613722	1.899264	1.412259
			2.487440	1.490119	50.414492	2.030665	4.042746	2.578665	1.438127	2.820068	1.837384	2.226028	1.944969	2.519905	1.525061	1.472537	1.717013	1.296088	1.272962	2.337829	1.933368	1.563467	1.812597	1.924650	2.133958	1.646200	2.244922	1.453811	1.836056	2.179943	1.760479	2.317844	3.397803	1.647510	1.565281	2.186773	1.677190	4.512470	2.051764	1.797496	1.755178	2.550519	2.630859	2.095129	2.317471	2.055889	1.936735	1.821806	5.756649	2.081878	1.484427	2.297422	1.727844	1.933744	1.515207	1.664134	1.645822	2.266219	2.004533	1.494291	2.428632	2.031318	1.976143	1.722664	2.073082	1.480403
		fold down																																																																
			2.487440	1.490119	50.414492	2.030665	4.042746	2.578665	1.438127	2.820068	1.837384	2.226028	1.944969	2.519905	1.525061	1.472537	1.717013	1.296088	1.272962	2.337829	1.933368	1.563467	1.812597	1.924650	2.133958	1.646200	2.244922	1.453811	1.836056	2.179943	1.760479	2.317844	3.397803	1.647510	1.565281	2.186773	1.677190	4.512470	2.051764	1.797496	1.755178	2.550519	2.630859	2.095129	2.317471	2.055889	1.936735	1.821806	5.756649	2.081878	1.484427	2.297422	1.727844	1.933744	1.515207	1.664134	1.645822	2.266219	2.004533	1.494291	2.428632	2.031318	1.976143	1.722664	2.073082	1.480403
			2.229543	1.420411	31.481037	1.865029	3.418252	2.301332	1.376712	2.489864	1.707910	2.022024	1.795599	2.255127	1.449677	1.405655	1.609064	1.256334	1.236589	2.111115	1.786172	1.481751	1.687621	1.779083	1.948251	1.550527	2.037117	1.389914	1.706824	1.985144	1.644850	2.095228	2.933541	1.551612	1.483264	1.990615	1.576181	3.765372	1.882069	1.675243	1.640491	2.279216	2.342268	1.917025	2.094931	1.885398	1.788909	1.695163	4.665092	1.906353	1.415636	2.078976	1.617991	1.786477	1.441432	1.565380	1.550213	2.054111	1.843895	1.423910	2.183097	1.865557	1.820897	1.613722	1.899264	1.412259
			2.142180	1.395776	26.507305	1.807969	3.215081	2.207665	1.354943	2.379166	1.662936	1.952278	1.743958	2.165529	1.423086	1.381995	1.571357	1.242122	1.223567	2.033920	1.735258	1.452986	1.644161	1.728714	1.884539	1.516991	1.966121	1.367286	1.661932	1.918430	1.604544	2.019373	2.780295	1.518001	1.454396	1.923453	1.540830	3.524533	1.823660	1.632701	1.600504	2.187502	2.244961	1.855828	2.019102	1.826724	1.737783	1.651142	4.320311	1.846010	1.391317	2.004488	1.579639	1.735539	1.415395	1.530796	1.516700	1.981703	1.788497	1.399042	2.099757	1.808455	1.767296	1.575679	1.839488	1.388164
			2.229543	1.420411	31.481037	1.865029	3.418252	2.301332	1.376712	2.489864	1.707910	2.022024	1.795599	2.255127	1.449677	1.405655	1.609064	1.256334	1.236589	2.111115	1.786172	1.481751	1.687621	1.779083	1.948251	1.550527	2.037117	1.389914	1.706824	1.985144	1.644850	2.095228	2.933541	1.551612	1.483264	1.990615	1.576181	3.765372	1.882069	1.675243	1.640491	2.279216	2.342268	1.917025	2.094931	1.885398	1.788909	1.695163	4.665092	1.906353	1.415636	2.078976	1.617991	1.786477	1.441432	1.565380	1.550213	2.054111	1.843895	1.423910	2.183097	1.865557	1.820897	1.613722	1.899264	1.412259
			2.487440	1.490119	50.414492	2.030665	4.042746	2.578665	1.438127	2.820068	1.837384	2.226028	1.944969	2.519905	1.525061	1.472537	1.717013	1.296088	1.272962	2.337829	1.933368	1.563467	1.812597	1.924650	2.133958	1.646200	2.244922	1.453811	1.836056	2.179943	1.760479	2.317844	3.397803	1.647510	1.565281	2.186773	1.677190	4.512470	2.051764	1.797496	1.755178	2.550519	2.630859	2.095129	2.317471	2.055889	1.936735	1.821806	5.756649	2.081878	1.484427	2.297422	1.727844	1.933744	1.515207	1.664134	1.645822	2.266219	2.004533	1.494291	2.428632	2.031318	1.976143	1.722664	2.073082	1.480403
																																																																		
			AHCY	AKR1C1	ALUsq-Eur	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
		detectable difference	2.310780	1.442837	36.721032	1.917643	3.611026	2.388561	1.396498	2.593337	1.749206	2.086580	1.843130	2.338487	1.473906	1.427182	1.643591	1.269196	1.248366	2.182713	1.833023	1.507988	1.727505	1.825424	2.007120	1.581180	2.102853	1.410491	1.748045	2.046840	1.681795	2.165556	3.077899	1.582337	1.509597	2.052734	1.608519	3.994930	1.935949	1.714272	1.677140	2.364587	2.432962	1.973526	2.165236	1.939526	1.835957	1.735571	4.997065	1.962051	1.437770	2.148013	1.653118	1.833351	1.465150	1.597007	1.580846	2.121182	1.894949	1.446550	2.260517	1.918210	1.870266	1.648562	1.954430	1.434188
