		AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDKN3	CHD5	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC	ULK2	WSB1
	stexy	0.083764	0.044847	0.068559	0.173904	0.105055	0.046702	0.124691	0.063226	0.067416	0.077856	0.102162	0.053327	0.046141	0.053382	0.028029	0.037319	0.086018	0.072334	0.066899	0.073079	0.069223	0.070461	0.049777	0.088631	0.036638	0.059472	0.090925	0.059192	0.077409	0.135340	0.055672	0.051208	0.076140	0.058020	0.143289	0.063702	0.069928	0.074203	0.087403	0.103514	0.055312	0.071354	0.078963	0.091245	0.065792	0.178494	0.072462	0.037561	0.073884	0.064640	0.059385	0.046987	0.056520	0.046453	0.077831	0.072719	0.045034	0.086662	0.076826	0.078953	0.059083	0.074671	0.049484
	SSres	0.091212	0.026146	0.061105	0.393154	0.143476	0.028354	0.202122	0.051968	0.059084	0.078801	0.135683	0.036970	0.027677	0.037045	0.010213	0.018105	0.096189	0.068019	0.058181	0.069427	0.062294	0.064541	0.032211	0.102121	0.017451	0.045980	0.107475	0.045548	0.077898	0.238119	0.040292	0.034089	0.075364	0.043762	0.266911	0.052753	0.063570	0.071578	0.099311	0.139297	0.039772	0.066188	0.081057	0.108234	0.056271	0.414182	0.068259	0.018340	0.070965	0.054319	0.045846	0.028701	0.041529	0.028053	0.078749	0.068744	0.026364	0.097633	0.076729	0.081036	0.045381	0.072485	0.031832
	SSregression	31.265695	34.285269	31.538405	35.319973	36.538656	33.358395	34.192412	32.226390	36.375230	34.084343	31.731935	31.418220	31.339301	33.461493	31.431000	33.385490	31.993040	33.512484	31.606538	32.712803	33.362238	32.068121	31.677181	31.199174	31.367991	31.273654	33.435183	29.842184	30.788243	35.520479	34.003876	34.503875	29.951871	32.058376	29.357432	33.102590	36.125582	33.912851	33.667662	32.427082	31.420758	33.832066	32.919261	36.113657	32.592786	31.677623	32.034525	32.099935	31.883042	31.563481	33.716002	33.216411	33.132260	32.294735	31.146362	30.454968	31.819788	33.029029	31.685027	36.640890	34.788675	30.457805	32.743196
	SSderivation	0.007124	0.001770	0.005193	0.012832	0.013725	0.007293	0.012889	0.004717	0.008692	0.027947	0.002055	0.009181	0.014559	0.009827	0.002400	0.007649	0.004679	0.008616	0.036790	0.010122	0.024533	0.013481	0.001808	0.024080	0.010824	0.028819	0.007450	0.013979	0.001344	0.039532	0.007066	0.006703	0.063676	0.018332	0.095977	0.013592	0.008355	0.023685	0.030229	0.018804	0.012659	0.003313	0.064194	0.013779	0.027376	0.050501	0.027451	0.009160	0.011589	0.008923	0.018743	0.006553	0.009263	0.013748	0.007623	0.028706	0.013616	0.013796	0.004844	0.038218	0.034692	0.004546	0.020468
																																																																
16		SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS
	between	31.272819	34.287039	31.543599	35.332805	36.552381	33.365688	34.205302	32.231107	36.383921	34.112290	31.733989	31.427401	31.353861	33.471320	31.433399	33.393140	31.997718	33.521100	31.643328	32.722925	33.386771	32.081602	31.678989	31.223254	31.378815	31.302473	33.442634	29.856162	30.789588	35.560011	34.010942	34.510578	30.015547	32.076708	29.453409	33.116182	36.133937	33.936536	33.697891	32.445886	31.433417	33.835379	32.983455	36.127437	32.620162	31.728125	32.061976	32.109095	31.894632	31.572404	33.734744	33.222964	33.141523	32.308483	31.153985	30.483674	31.833405	33.042826	31.689871	36.679107	34.823367	30.462351	32.763664
	regression	31.265695	34.285269	31.538405	35.319973	36.538656	33.358395	34.192412	32.226390	36.375230	34.084343	31.731935	31.418220	31.339301	33.461493	31.431000	33.385490	31.993040	33.512484	31.606538	32.712803	33.362238	32.068121	31.677181	31.199174	31.367991	31.273654	33.435183	29.842184	30.788243	35.520479	34.003876	34.503875	29.951871	32.058376	29.357432	33.102590	36.125582	33.912851	33.667662	32.427082	31.420758	33.832066	32.919261	36.113657	32.592786	31.677623	32.034525	32.099935	31.883042	31.563481	33.716002	33.216411	33.132260	32.294735	31.146362	30.454968	31.819788	33.029029	31.685027	36.640890	34.788675	30.457805	32.743196
	derivation	0.007124	0.001770	0.005193	0.012832	0.013725	0.007293	0.012889	0.004717	0.008692	0.027947	0.002055	0.009181	0.014559	0.009827	0.002400	0.007649	0.004679	0.008616	0.036790	0.010122	0.024533	0.013481	0.001808	0.024080	0.010824	0.028819	0.007450	0.013979	0.001344	0.039532	0.007066	0.006703	0.063676	0.018332	0.095977	0.013592	0.008355	0.023685	0.030229	0.018804	0.012659	0.003313	0.064194	0.013779	0.027376	0.050501	0.027451	0.009160	0.011589	0.008923	0.018743	0.006553	0.009263	0.013748	0.007623	0.028706	0.013616	0.013796	0.004844	0.038218	0.034692	0.004546	0.020468
	within	0.084088	0.024376	0.055912	0.380322	0.129752	0.021061	0.189233	0.047250	0.050392	0.050854	0.133628	0.027789	0.013118	0.027218	0.007814	0.010456	0.091511	0.059403	0.021392	0.059305	0.037761	0.051060	0.030403	0.078041	0.006627	0.017161	0.100025	0.031569	0.076554	0.198587	0.033226	0.027386	0.011688	0.025430	0.170935	0.039161	0.055214	0.047893	0.069082	0.120493	0.027113	0.062876	0.016862	0.094454	0.028896	0.363680	0.040808	0.009180	0.059376	0.045396	0.027103	0.022147	0.032266	0.014305	0.071127	0.040038	0.012748	0.083837	0.071885	0.042818	0.010689	0.067939	0.011364
																																																																
		df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df
	between	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
	regression	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
	derivation	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
	within	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
																																																																
		MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS
	between	7.818205	8.571760	7.885900	8.833201	9.138095	8.341422	8.551325	8.057777	9.095980	8.528072	7.933497	7.856850	7.838465	8.367830	7.858350	8.348285	7.999430	8.380275	7.910832	8.180731	8.346693	8.020401	7.919747	7.805814	7.844704	7.825618	8.360658	7.464041	7.697397	8.890003	8.502736	8.627645	7.503887	8.019177	7.363352	8.279046	9.033484	8.484134	8.424473	8.111471	7.858354	8.458845	8.245864	9.031859	8.155040	7.932031	8.015494	8.027274	7.973658	7.893101	8.433686	8.305741	8.285381	8.077121	7.788496	7.620918	7.958351	8.260706	7.922468	9.169777	8.705842	7.615588	8.190916
	regression	31.265695	34.285269	31.538405	35.319973	36.538656	33.358395	34.192412	32.226390	36.375230	34.084343	31.731935	31.418220	31.339301	33.461493	31.431000	33.385490	31.993040	33.512484	31.606538	32.712803	33.362238	32.068121	31.677181	31.199174	31.367991	31.273654	33.435183	29.842184	30.788243	35.520479	34.003876	34.503875	29.951871	32.058376	29.357432	33.102590	36.125582	33.912851	33.667662	32.427082	31.420758	33.832066	32.919261	36.113657	32.592786	31.677623	32.034525	32.099935	31.883042	31.563481	33.716002	33.216411	33.132260	32.294735	31.146362	30.454968	31.819788	33.029029	31.685027	36.640890	34.788675	30.457805	32.743196
	Linearity: MS derivation	0.002375	0.000590	0.001731	0.004277	0.004575	0.002431	0.004296	0.001572	0.002897	0.009316	0.000685	0.003060	0.004853	0.003276	0.000800	0.002550	0.001560	0.002872	0.012263	0.003374	0.008178	0.004494	0.000603	0.008027	0.003608	0.009606	0.002483	0.004660	0.000448	0.013177	0.002355	0.002234	0.021225	0.006111	0.031992	0.004531	0.002785	0.007895	0.010076	0.006268	0.004220	0.001104	0.021398	0.004593	0.009125	0.016834	0.009150	0.003053	0.003863	0.002974	0.006248	0.002184	0.003088	0.004583	0.002541	0.009569	0.004539	0.004599	0.001615	0.012739	0.011564	0.001515	0.006823
	Reproducibility: MS within	0.008409	0.002438	0.005591	0.038032	0.012975	0.002106	0.018923	0.004725	0.005039	0.005085	0.013363	0.002779	0.001312	0.002722	0.000781	0.001046	0.009151	0.005940	0.002139	0.005931	0.003776	0.005106	0.003040	0.007804	0.000663	0.001716	0.010002	0.003157	0.007655	0.019859	0.003323	0.002739	0.001169	0.002543	0.017093	0.003916	0.005521	0.004789	0.006908	0.012049	0.002711	0.006288	0.001686	0.009445	0.002890	0.036368	0.004081	0.000918	0.005938	0.004540	0.002710	0.002215	0.003227	0.001430	0.007113	0.004004	0.001275	0.008384	0.007189	0.004282	0.001069	0.006794	0.001136
