		AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	SSbetween	30.008924	30.007676	34.725182	30.004307	30.005333	30.012567	30.009614	30.004987	30.002937	30.030287	30.005755	30.001665	30.009297	30.016760	30.015474	30.005095	30.003807	30.004097	30.002113	30.003426	30.006703	30.016715	30.002560	30.002004	30.013786	30.008419	30.030774	30.008468	30.012269	30.011059	30.033634	30.002002	30.006417	30.068451	30.012342	30.103123	30.027126	30.003504	30.011374	30.033782	30.017663	30.010525	30.008813	30.054899	30.006824	30.013563	30.036030	30.029465	30.004290	30.020329	30.011757	30.018533	30.004783	30.006703	30.019314	30.002586	30.034752	30.005509	30.008252	30.001999	30.019833	30.026621	30.002733	30.020854
																																																																	
	stexy	0.085738	0.042164	1.108058	0.068864	0.140175	0.088144	0.035590	0.103159	0.060001	0.076255	0.061618	0.099403	0.045992	0.037578	0.054142	0.029954	0.024793	0.078090	0.068231	0.045463	0.057301	0.067310	0.073584	0.050588	0.084493	0.036832	0.062719	0.077133	0.060814	0.081267	0.122965	0.047043	0.046876	0.080301	0.053405	0.153817	0.068876	0.059379	0.057948	0.086778	0.095714	0.077310	0.077900	0.073127	0.064560	0.059046	0.166729	0.071491	0.038785	0.083934	0.061278	0.058919	0.042884	0.049589	0.048335	0.082198	0.072829	0.041737	0.087144	0.068622	0.064628	0.053485	0.072417	0.042349
	SSres	0.095562	0.023111	15.961310	0.061650	0.255438	0.101002	0.016467	0.138342	0.046802	0.075592	0.049359	0.128452	0.027499	0.018357	0.038107	0.011664	0.007991	0.079275	0.060521	0.026870	0.042684	0.058899	0.070390	0.033268	0.092809	0.017635	0.051138	0.077343	0.048079	0.085855	0.196566	0.028770	0.028566	0.083827	0.037077	0.307575	0.061672	0.045836	0.043653	0.097895	0.119096	0.077699	0.078888	0.069518	0.054184	0.045323	0.361381	0.066442	0.019555	0.091583	0.048815	0.045129	0.023908	0.031968	0.030372	0.087835	0.068953	0.022646	0.098723	0.061217	0.054298	0.037188	0.068174	0.023314
	SSregression	30.000272	29.998809	30.000239	29.998899	30.000680	29.999361	30.000015	29.999843	30.001646	29.998575	29.999372	29.999276	29.998812	30.001814	30.000493	30.000158	29.999542	30.000799	30.000379	30.000161	30.000361	29.999956	29.999509	30.000636	30.001859	30.000390	29.999092	30.000966	29.999969	30.000303	30.000233	29.997506	29.999286	29.999780	29.999740	29.999486	30.000890	29.999460	29.998684	29.998847	30.001279	30.000171	30.000843	29.999994	30.000138	30.000131	30.000718	29.998601	29.998673	30.000448	30.001100	29.998969	29.999160	30.000332	29.999375	29.999278	30.000586	29.998021	30.000542	30.000389	29.999009	29.999482	29.999732	30.000963
	SSderivation	0.008651	0.008867	4.724943	0.005408	0.004652	0.013206	0.009599	0.005144	0.001291	0.031713	0.006383	0.002388	0.010485	0.014945	0.014982	0.004937	0.004265	0.003298	0.001734	0.003265	0.006341	0.016759	0.003051	0.001368	0.011927	0.008029	0.031682	0.007502	0.012300	0.010756	0.033401	0.004496	0.007131	0.068671	0.012602	0.103637	0.026236	0.004043	0.012691	0.034935	0.016384	0.010354	0.007969	0.054905	0.006686	0.013432	0.035312	0.030864	0.005617	0.019881	0.010657	0.019564	0.005623	0.006371	0.019939	0.003308	0.034166	0.007487	0.007710	0.001610	0.020824	0.027139	0.003002	0.019891
																																																																	
16		SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS	SS
	between	30.008924	30.007676	34.725182	30.004307	30.005333	30.012567	30.009614	30.004987	30.002937	30.030287	30.005755	30.001665	30.009297	30.016760	30.015474	30.005095	30.003807	30.004097	30.002113	30.003426	30.006703	30.016715	30.002560	30.002004	30.013786	30.008419	30.030774	30.008468	30.012269	30.011059	30.033634	30.002002	30.006417	30.068451	30.012342	30.103123	30.027126	30.003504	30.011374	30.033782	30.017663	30.010525	30.008813	30.054899	30.006824	30.013563	30.036030	30.029465	30.004290	30.020329	30.011757	30.018533	30.004783	30.006703	30.019314	30.002586	30.034752	30.005509	30.008252	30.001999	30.019833	30.026621	30.002733	30.020854
	regression	30.000272	29.998809	30.000239	29.998899	30.000680	29.999361	30.000015	29.999843	30.001646	29.998575	29.999372	29.999276	29.998812	30.001814	30.000493	30.000158	29.999542	30.000799	30.000379	30.000161	30.000361	29.999956	29.999509	30.000636	30.001859	30.000390	29.999092	30.000966	29.999969	30.000303	30.000233	29.997506	29.999286	29.999780	29.999740	29.999486	30.000890	29.999460	29.998684	29.998847	30.001279	30.000171	30.000843	29.999994	30.000138	30.000131	30.000718	29.998601	29.998673	30.000448	30.001100	29.998969	29.999160	30.000332	29.999375	29.999278	30.000586	29.998021	30.000542	30.000389	29.999009	29.999482	29.999732	30.000963
	derivation	0.008651	0.008867	4.724943	0.005408	0.004652	0.013206	0.009599	0.005144	0.001291	0.031713	0.006383	0.002388	0.010485	0.014945	0.014982	0.004937	0.004265	0.003298	0.001734	0.003265	0.006341	0.016759	0.003051	0.001368	0.011927	0.008029	0.031682	0.007502	0.012300	0.010756	0.033401	0.004496	0.007131	0.068671	0.012602	0.103637	0.026236	0.004043	0.012691	0.034935	0.016384	0.010354	0.007969	0.054905	0.006686	0.013432	0.035312	0.030864	0.005617	0.019881	0.010657	0.019564	0.005623	0.006371	0.019939	0.003308	0.034166	0.007487	0.007710	0.001610	0.020824	0.027139	0.003002	0.019891
	within	0.086911	0.014245	11.236367	0.056242	0.250786	0.087796	0.006868	0.133198	0.045511	0.043880	0.042976	0.126064	0.017014	0.003412	0.023125	0.006727	0.003726	0.075976	0.058787	0.023605	0.036343	0.042140	0.067339	0.031901	0.080881	0.009607	0.019456	0.069841	0.035779	0.075099	0.163165	0.024274	0.021435	0.015157	0.024475	0.203937	0.035436	0.041793	0.030963	0.062960	0.102711	0.067345	0.070919	0.014613	0.047498	0.031891	0.326069	0.035579	0.013938	0.071702	0.038158	0.025565	0.018285	0.025597	0.010434	0.084527	0.034787	0.015159	0.091013	0.059607	0.033474	0.010050	0.065172	0.003423
																																																																	
		df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df	df
	between	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
	regression	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
	derivation	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
	within	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
																																																																	
		MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS	MS
	between	7.502231	7.501919	8.681295	7.501077	7.501333	7.503142	7.502403	7.501247	7.500734	7.507572	7.501439	7.500416	7.502324	7.504190	7.503869	7.501274	7.500952	7.501024	7.500528	7.500857	7.501676	7.504179	7.500640	7.500501	7.503447	7.502105	7.507693	7.502117	7.503067	7.502765	7.508409	7.500500	7.501604	7.517113	7.503085	7.525781	7.506781	7.500876	7.502844	7.508445	7.504416	7.502631	7.502203	7.513725	7.501706	7.503391	7.509008	7.507366	7.501073	7.505082	7.502939	7.504633	7.501196	7.501676	7.504829	7.500647	7.508688	7.501377	7.502063	7.500500	7.504958	7.506655	7.500683	7.505214
	regression	30.000272	29.998809	30.000239	29.998899	30.000680	29.999361	30.000015	29.999843	30.001646	29.998575	29.999372	29.999276	29.998812	30.001814	30.000493	30.000158	29.999542	30.000799	30.000379	30.000161	30.000361	29.999956	29.999509	30.000636	30.001859	30.000390	29.999092	30.000966	29.999969	30.000303	30.000233	29.997506	29.999286	29.999780	29.999740	29.999486	30.000890	29.999460	29.998684	29.998847	30.001279	30.000171	30.000843	29.999994	30.000138	30.000131	30.000718	29.998601	29.998673	30.000448	30.001100	29.998969	29.999160	30.000332	29.999375	29.999278	30.000586	29.998021	30.000542	30.000389	29.999009	29.999482	29.999732	30.000963
	Linearity: MS derivation	0.002884	0.002956	1.574981	0.001803	0.001551	0.004402	0.003200	0.001715	0.000430	0.010571	0.002128	0.000796	0.003495	0.004982	0.004994	0.001646	0.001422	0.001099	0.000578	0.001088	0.002114	0.005586	0.001017	0.000456	0.003976	0.002676	0.010561	0.002501	0.004100	0.003585	0.011134	0.001499	0.002377	0.022890	0.004201	0.034546	0.008745	0.001348	0.004230	0.011645	0.005461	0.003451	0.002656	0.018302	0.002229	0.004477	0.011771	0.010288	0.001872	0.006627	0.003552	0.006521	0.001874	0.002124	0.006646	0.001103	0.011389	0.002496	0.002570	0.000537	0.006941	0.009046	0.001001	0.006630
	Reproducibility: MS within	0.008691	0.001424	1.123637	0.005624	0.025079	0.008780	0.000687	0.013320	0.004551	0.004388	0.004298	0.012606	0.001701	0.000341	0.002313	0.000673	0.000373	0.007598	0.005879	0.002361	0.003634	0.004214	0.006734	0.003190	0.008088	0.000961	0.001946	0.006984	0.003578	0.007510	0.016316	0.002427	0.002143	0.001516	0.002447	0.020394	0.003544	0.004179	0.003096	0.006296	0.010271	0.006734	0.007092	0.001461	0.004750	0.003189	0.032607	0.003558	0.001394	0.007170	0.003816	0.002556	0.001828	0.002560	0.001043	0.008453	0.003479	0.001516	0.009101	0.005961	0.003347	0.001005	0.006517	0.000342
